#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
37.2%	186000	-63063.37734245183	3610.9039075481705	301.2820177979288	0.9588974058921507	43.8	20:37
37.4%	187000	-62530.66249870183	4468.5875012981705	302.75045868526524	0.9588974058921507	43.8	20:33
37.6%	188000	-60824.27285026433	5459.2115247356705	299.5161184310102	0.9588974058921507	43.8	20:30
37.8%	189000	-62193.16445182683	3023.4488294231705	294.69523292869695	0.9588974058921507	43.8	20:26
38.0%	190000	-62069.59023307683	4610.5347669231705	301.3084240337142	0.9588974058921507	43.8	20:22
38.2%	191000	-60848.56337760808	5331.7803723919205	299.05005542988954	0.9588974058921507	43.8	20:19
38.4%	192000	-61505.23378776433	4980.9771497356705	300.432181816564	0.9588974058921507	43.8	20:15
38.6%	193000	-61253.91152213933	5098.9009778606705	299.8293924101001	0.9588974058921507	43.8	20:11
38.8%	194000	-61732.78163932683	4066.1871106731705	297.3267308228067	0.9588974058921507	43.8	20:07
39.0%	195000	-61013.10878776433	5649.0318372356705	301.2271577840111	0.9588974058921507	43.8	20:04
39.2%	196000	-59692.68886588933	7407.2955091106705	303.2056485304743	0.9588974058921507	43.8	20:00
39.4%	197000	-60293.10927604558	5860.7188489544205	298.9302389001362	0.9588974058921507	43.7	19:56
39.6%	198000	-59917.14980338933	6408.9205091106705	299.7085521091733	0.9588974058921507	43.7	19:52
39.8%	199000	-59902.59413932683	5850.4214856731705	297.11908178685826	0.9588974058921507	43.7	19:49
40.0%	200000	-60224.82216667058	6206.1934583294205	300.1827699772277	0.9588974058921507	43.7	19:45
40.2%	201000	-59420.41249870183	6871.4937512981705	299.5541744767009	0.9588974058921507	43.7	19:41
40.4%	202000	-58728.59706901433	7070.6998059856705	297.3282135258856	0.9588974058921507	43.7	19:37
40.6%	203000	-58531.35927604558	7549.2657239544205	298.59945490373406	0.9588974058921507	43.7	19:34
40.8%	204000	-58722.80507682683	6838.4605481731705	296.2526183495377	0.9588974058921507	43.7	19:30
41.0%	205000	-59045.92275260808	7188.2022473919205	299.29307752500506	0.9588974058921507	43.7	19:26
41.2%	206000	-57597.64687370183	8575.68906379817	299.01838912841964	0.9588974058921507	43.7	19:22
41.4%	207000	-58134.58925651433	8487.66074348567	301.04690345256716	0.9588974058921507	43.7	19:18
41.6%	208000	-57196.79921745183	8927.35703254817	298.79616017886246	0.9588974058921507	43.7	19:15
41.8%	209000	-57719.96327995183	7921.2242200481705	296.6137624566021	0.9588974058921507	43.7	19:11
42.0%	210000	-57874.97206901433	7722.5279309856705	296.4163511323886	0.9588974058921507	43.7	19:07
42.2%	211000	-56482.40517448308	9792.46201301692	299.4771798239631	0.9588974058921507	43.7	19:03
42.4%	212000	-56638.26210807683	9737.65976692317	299.93381706979676	0.9588974058921507	43.7	19:00
42.6%	213000	-56809.60195182683	9437.11679817317	299.3499850812698	0.9588974058921507	43.6	18:56
42.8%	214000	-56495.68251823308	9166.50498176692	296.70865545364893	0.9588974058921507	43.6	18:52
43.0%	215000	-56675.28652213933	9294.40879036067	298.0981953557177	0.9588974058921507	43.6	18:49
43.2%	216000	-56695.14101432683	9363.99961067317	298.50237315452324	0.9588974058921507	43.6	18:45
43.4%	217000	-56099.22792838933	9619.67832161067	296.9649512715656	0.9588974058921507	43.6	18:41
43.6%	218000	-56443.56972526433	10506.88339973567	302.5299595559667	0.9588974058921507	43.6	18:37
43.8%	219000	-57497.49160026433	8375.59433723567	297.6616452063571	0.9588974058921507	43.6	18:33
44.0%	220000	-57883.76406120183	8565.18906379817	300.2638244122052	0.9588974058921507	43.6	18:29
44.2%	221000	-55895.38417838933	10002.92832161067	297.7756368311578	0.9588974058921507	43.6	18:25
