#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
41.8%	209000	592733.7206162196	718937.9706162196	296.7320391351708	0.9626389289889488	16.1	52:03
42.0%	210000	593580.8290146571	720408.5633896571	298.1979785941246	0.9626389289889488	16.1	51:55
42.2%	211000	591867.3319443446	719279.1913193446	299.57137610141797	0.9626389289889488	16.1	51:48
42.4%	212000	593446.0145615321	721001.7098740321	299.9095638489407	0.9626389289889488	16	51:41
42.6%	213000	590624.5350693446	717935.7538193446	299.3347493802411	0.9626389289889488	16	51:33
42.8%	214000	591093.5838974696	718409.5057724696	299.34580739034425	0.9626389289889488	16	51:26
43.0%	215000	590955.9432724696	717813.0995224696	298.26715544802556	0.9626389289889488	16	51:18
43.2%	216000	591049.9256943446	717480.5194443446	297.26421964797447	0.9626389289889488	16	51:10
43.4%	217000	590088.1913193446	716295.4647568446	296.7391478559514	0.9626389289889488	16	51:02
43.6%	218000	590869.0546005946	718184.9530380946	299.3457522839816	0.9626389289889488	16	50:54
43.8%	219000	590366.5643662196	717911.4628037196	299.88417818455116	0.9626389289889488	15.9	50:45
44.0%	220000	591597.3426865321	719684.3583115321	301.15880672120574	0.9626389289889488	15.9	50:37
44.2%	221000	592465.2176865321	719282.9989365321	298.17457675879007	0.9626389289889488	15.9	50:28
44.4%	222000	592297.1337021571	719434.2587021571	298.9254193185499	0.9626389289889488	15.9	50:19
44.6%	223000	591652.7342880946	718792.4530380946	298.93151775601547	0.9626389289889488	15.9	50:11
44.8%	224000	594164.9549912196	720512.6346787196	297.0692717057411	0.9626389289889488	15.9	50:02
45.0%	225000	592617.3641709071	719312.8172959071	297.8869582833835	0.9626389289889488	15.9	49:54
45.2%	226000	593520.6210068446	720469.3085068446	298.482364162923	0.9626389289889488	15.9	49:45
45.4%	227000	592554.0897568446	719669.8553818446	298.8751990533972	0.9626389289889488	15.8	49:36
45.6%	228000	591798.6219834071	719883.0829209071	301.152800127678	0.9626389289889488	15.8	49:28
45.8%	229000	590708.5819443446	717960.6600693446	299.1956976585124	0.9626389289889488	15.8	49:19
