#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
39.2%	196000	-40123.528256122256	26944.706118877744	298.9901218295253	0.955808202767729	35.4	24:42
39.4%	197000	-40865.887631122256	26017.752993877744	298.16720307647046	0.955808202767729	35.4	24:40
39.6%	198000	-40886.238217059756	26078.894595440244	298.53049516691885	0.955808202767729	35.3	24:37
39.8%	199000	-41555.565365497256	25800.715884502744	300.2742345104604	0.955808202767729	35.3	24:34
40.0%	200000	-41361.330013934756	26072.498111065244	300.61993840172596	0.955808202767729	35.2	24:32
40.2%	201000	-40805.865170184756	25914.462954815244	297.4391561146514	0.955808202767729	35.2	24:29
40.4%	202000	-41175.644955341006	26210.808169658994	300.40874069906283	0.955808202767729	35.1	24:26
40.6%	203000	-42557.713314716006	24192.169497783994	297.5709108819955	0.955808202767729	35.1	24:23
40.8%	204000	-42800.629818622256	23902.526431377744	297.36260391305944	0.955808202767729	35	24:21
41.0%	205000	-41431.735287372256	24619.116275127744	294.4546302679638	0.955808202767729	35	24:18
41.2%	206000	-40157.347592059756	26972.621157940244	299.2653336115906	0.955808202767729	34.9	24:15
41.4%	207000	-41263.825131122256	25586.815493877744	298.02008910944386	0.955808202767729	34.9	24:12
41.6%	208000	-42604.694271747256	24037.836978252744	297.09233772363564	0.955808202767729	34.8	24:09
41.8%	209000	-42506.163998309756	24211.117251690244	297.4255731489458	0.955808202767729	34.8	24:06
42.0%	210000	-41933.413998309756	25252.921939190244	299.5166184771438	0.955808202767729	34.7	24:03
42.2%	211000	-41406.307552997256	25590.989322002744	298.67388252540565	0.955808202767729	34.7	24:00
42.4%	212000	-41923.853451434756	25095.935611065244	298.7741526748066	0.955808202767729	34.6	23:56
42.6%	213000	-42284.760677997256	24787.208072002744	299.0067696695439	0.955808202767729	34.6	23:53
42.8%	214000	-41476.570248309756	25626.086001690244	299.14357451388116	0.955808202767729	34.5	23:50
43.0%	215000	-40529.427181903506	26753.166568096494	299.9457357090886	0.955808202767729	34.5	23:47
43.2%	216000	-41784.041927997256	25008.473697002744	297.76096791752207	0.955808202767729	34.5	23:44
43.4%	217000	-41159.651302997256	25147.825259502744	295.59866426154554	0.955808202767729	34.4	23:40
43.6%	218000	-40344.373470966006	26006.157779033994	295.79060201540045	0.955808202767729	34.4	23:37
43.8%	219000	-40144.084408466006	26921.564029033994	298.97859372273416	0.955808202767729	34.3	23:34
44.0%	220000	-40538.154720966006	26491.415591533994	298.81775747753323	0.955808202767729	34.3	23:30
44.2%	221000	-41518.208920184756	25490.900454815244	298.7265426386027	0.955808202767729	34.3	23:27
44.4%	222000	-41432.426693622256	24706.456118877744	294.8470734925035	0.955808202767729	34.2	23:23
44.6%	223000	-41675.651791278506	25424.934146221494	299.1343450628248	0.955808202767729	34.2	23:20
44.8%	224000	-41350.740658466006	25745.415591533994	299.1145975203759	0.955808202767729	34.1	23:17
45.0%	225000	-40559.128842059756	26841.464907940244	300.4717795911836	0.955808202767729	34.1	23:13
45.2%	226000	-41164.597592059756	26291.886782940244	300.720939941588	0.955808202767729	34.1	23:10
45.4%	227000	-41783.502865497256	25933.762759502744	301.88350249351674	0.955808202767729	34	23:06
45.6%	228000	-41569.997006122256	25719.807681377744	299.9778820612584	0.955808202767729	34	23:02
45.8%	229000	-42237.306576434756	24169.724673565244	296.042478958946	0.955808202767729	33.9	22:59
46.0%	230000	-41537.661068622256	24968.901431377744	296.48618917199485	0.955808202767729	33.9	22:55
46.2%	231000	-41473.077572528506	25947.930239971494	300.56278546141095	0.955808202767729	33.9	22:52
46.4%	232000	-42195.778744403506	24851.799380596494	298.8980362876649	0.955808202767729	33.8	22:48
46.6%	233000	-41548.734310809756	24891.031314190244	296.188408769988	0.955808202767729	33.8	22:44
