#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
94.6%	473000	298.2180259638619	11.1	7:00
94.8%	474000	298.7687577653911	11.1	6:44
95.0%	475000	299.48828604158194	11.1	6:29
95.2%	476000	299.001284867148	11.1	6:13
95.4%	477000	299.5602995399139	11.1	5:57
95.6%	478000	300.0846263920548	11.1	5:42
95.8%	479000	300.30377955840714	11.1	5:26
96.0%	480000	298.5936568123041	11.1	5:11
96.2%	481000	299.13394269978954	11.1	4:55
96.4%	482000	300.0986070345881	11.1	4:40
96.6%	483000	298.8525097277369	11.1	4:24
96.8%	484000	299.8553174759376	11.1	4:09
97.0%	485000	301.23557619396695	11.1	3:53
97.2%	486000	299.2853556962824	11.1	3:38
97.4%	487000	298.85050495635477	11.1	3:22
97.6%	488000	299.0442555590098	11.1	3:06
97.8%	489000	298.5895945123982	11.1	2:51
98.0%	490000	298.27305166258736	11.1	2:35
98.2%	491000	298.30932219746154	11.1	2:20
98.4%	492000	299.2099657408858	11.1	2:04
98.6%	493000	299.0954299863959	11.1	1:49
98.8%	494000	300.08132907070257	11.1	1:33
99.0%	495000	299.0692624441449	11.1	1:17
99.2%	496000	299.7773687991717	11.1	1:02
99.4%	497000	300.2577225737597	11.1	0:46
99.6%	498000	300.1952581180637	11.1	0:31
99.8%	499000	299.4252148787572	11.1	0:15
100.0%	500000	298.8078771859136	11.1	0:00
