#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
50.4%	252000	-61839.401572134346	63222.004677865654	298.9125675349529	0.9750113796718786	14.4	49:36
50.6%	253000	-62029.362509634346	63740.871865365654	300.6067563429788	0.9750113796718786	14.4	49:24
50.8%	254000	-62959.968954946846	63160.937295053154	301.44490644588916	0.9750113796718786	14.4	49:13
51.0%	255000	-62040.772665884346	62189.203896615654	296.92534549685587	0.9750113796718786	14.4	49:02
51.2%	256000	-61458.414267446846	63695.937295053154	299.1347185792501	0.9750113796718786	14.4	48:51
51.4%	257000	-61026.731650259346	63979.510537240654	298.780718453354	0.9750113796718786	14.4	48:40
51.6%	258000	-61416.284384634346	64120.270302865654	300.0482323549169	0.9750113796718786	14.4	48:29
51.8%	259000	-60377.025595571846	65027.286904428154	299.7321568126105	0.9750113796718786	14.4	48:18
52.0%	260000	-62616.192587759346	62019.604287240654	297.8953073356402	0.9750113796718786	14.4	48:06
52.2%	261000	-61982.531454946846	62113.718545053154	296.6057221106883	0.9750113796718786	14.4	47:55
52.4%	262000	-62623.954306509346	62544.295693490654	299.16793760150824	0.9750113796718786	14.4	47:44
52.6%	263000	-61083.132040884346	63802.055459115654	298.4913824500435	0.9750113796718786	14.4	47:33
52.8%	264000	-61507.960165884346	62965.766396615654	297.5079388045866	0.9750113796718786	14.3	47:22
53.0%	265000	-61747.809775259346	63968.955849740654	300.47895927252665	0.9750113796718786	14.3	47:10
53.2%	266000	-61819.032431509346	63601.030068490654	299.76980130326393	0.9750113796718786	14.3	46:59
53.4%	267000	-62332.252158071846	61660.763466928154	296.3589789065744	0.9750113796718786	14.3	46:48
53.6%	268000	-61175.365439321846	63506.970498178154	298.0065415771195	0.9750113796718786	14.3	46:36
53.8%	269000	-61317.600790884346	64340.352334115654	300.33838996417416	0.9750113796718786	14.3	46:25
54.0%	270000	-62006.104697134346	63444.926552865654	299.8438205299256	0.9750113796718786	14.3	46:14
54.2%	271000	-61507.466025259346	63710.455849740654	299.2866596608208	0.9750113796718786	14.3	46:03
54.4%	272000	-61507.885947134346	64688.973427865654	301.62644401440707	0.9750113796718786	14.3	45:51
54.6%	273000	-62312.883994009346	62986.795693490654	299.4820711661221	0.9750113796718786	14.3	45:40
54.8%	274000	-62816.407431509346	62474.951943490654	299.4621845676371	0.9750113796718786	14.3	45:28
55.0%	275000	-60959.840048696846	63663.050576303154	297.8644597669104	0.9750113796718786	14.3	45:17
55.2%	276000	-59552.836142446846	66143.73417005315	300.43068992315216	0.9750113796718786	14.3	45:06
55.4%	277000	-59938.346884634346	64972.340615365654	298.55233067300605	0.9750113796718786	14.3	44:54
55.6%	278000	-61436.912314321846	64159.040810678154	300.1902021279514	0.9750113796718786	14.3	44:43
55.8%	279000	-62376.075400259346	62966.862099740654	299.5854628053819	0.9750113796718786	14.3	44:32
56.0%	280000	-62099.652548696846	62740.316201303154	298.38330392231444	0.9750113796718786	14.3	44:20
56.2%	281000	-59856.456259634346	64501.793740365654	297.23193522504914	0.9750113796718786	14.3	44:09
56.4%	282000	-60974.837119009346	64279.491005990654	299.37367519973185	0.9750113796718786	14.3	43:57
56.6%	283000	-61023.035361196846	64487.527138803154	299.98610774162137	0.9750113796718786	14.3	43:46
56.8%	284000	-60979.716025259346	63987.658974740654	298.68782096277835	0.9750113796718786	14.3	43:34
